# 0x1 unused
0x2 ank1a
0x3 ank1b
0x4 ank2a
0x5 ank2b
0x6 escudodaalvorada lighting
# 0x7 - 0xd unused
0xe [n/a] lighting
0xf [n/a] lighting
# 0x10 - 0x19 unused
0x1a rusticstonewall stonework
# 0x1b - 0x21 unused
0x22 [n/a] lighting
0x23 [n/a] lighting
0x24 rusticstonewallm stonework
# 0x25 - 0x27 unused
0x28 rusticstonearch stonework
# 0x29 - 0x2c unused
0x2d rusticstonewallp stonework
# 0x2e - 0x32 unused
0x33 brickwall stonework
# 0x34 - 0x3a unused
0x3b [n/a] lighting
# 0x3c unused
0x3d brickhalfwall stonework
# 0x3e - 0x40 unused
0x41 bricktinywall stonework
# 0x42 - 0x44 unused
0x45 brickarch stonework
# 0x46 - 0x51 unused
0x52 bricksmallwall stonework
# 0x53 - 0x56 unused
0x57 fancystonewall stonework
# 0x58 - 0x5b unused
0x5c [n/a] lighting
# 0x5d unused
0x5e [n/a] lighting
0x5f fancystonewallm stonework
# 0x60 - 0x62 unused
0x63 fancystonewalls stonework
# 0x64 - 0x68 unused
0x69 fancystonewallp stonework
# 0x6a - 0x6c unused
0x6d fancystonearch stonework
# 0x6e - 0x71 unused
0x72 fancybattlement stonework
# 0x73 - 0x79 unused
0x7a largestonearch stonework
# 0x7b - 0x7f unused
0x80 largestonewall stonework
# 0x81 - 0x82 unused
0x83 [n/a] lighting
# 0x84 - 0x8c unused
0x8d [n/a] lighting
# 0x8e - 0x97 unused
0x98 [n/a] lighting
0x99 [n/a] lighting
# 0x9a - 0xb8 unused
0xb9 [n/a] lighting
0xba [n/a] lighting
0xbb [n/a] lighting
0xbc [n/a] lighting
# 0xbd - 0xc6 unused
0xc7 stonewall stonework
# 0xc8 - 0xc9 unused
0xca [n/a] lighting
0xcb [n/a] lighting
# 0xcc unused
0xcd stonewallarch stonework
# 0xce - 0xdb unused
0xdc tinystonewall stonework
# 0xdd - 0xf7 unused
0xf8 fancymarblesandstonewall stonework
# 0xf9 - 0xfb unused
0xfc [n/a] lighting
# 0xfd - 0x101 unused
0x102 [n/a] lighting
